chrom	start	end	observed_overlap	p_value	bonferroni_p	significant
chr1	165298	165615	836	0.0891089108910891	1.0	False
chr1	151300	151426	335	0.12871287128712872	1.0	False
chr1	587873	588557	2182	0.0297029702970297	1.0	False
chr1	6381	7349	2462	0.07920792079207921	1.0	False
chr1	4107016	4107633	22	0.7821782178217822	1.0	False
chr1	663506	663922	3540	0.019801980198019802	1.0	False
chr1	1632317	1633232	933	0.39603960396039606	1.0	False
chr1	4478689	4478911	355	0.7623762376237624	1.0	False
chr1	608032	608699	0	1.0	1.0	False
chr1	1933009	1933130	0	1.0	1.0	False
chr1	3894449	3894840	2877	0.009900990099009901	1.0	False
chr1	2050146	2050262	459	0.504950495049505	1.0	False
chr1	938665	939312	1095	0.009900990099009901	1.0	False
chr1	699502	699871	399	0.04950495049504951	1.0	False
chr1	2080510	2081159	246	0.5148514851485149	1.0	False
chr1	702805	702940	2420	0.019801980198019802	1.0	False
chr1	2607372	2607653	1033	0.504950495049505	1.0	False
chr1	3477725	3478301	847	0.21782178217821782	1.0	False
chr1	1783683	1784326	332	0.5544554455445545	1.0	False
chr1	3936434	3936874	147	0.6831683168316832	1.0	False
chr1	112447	113246	270	0.5247524752475248	1.0	False
chr1	3853997	3854584	254	0.8118811881188119	1.0	False
chr1	3781042	3781809	307	0.7722772277227723	1.0	False
chr1	2638321	2638526	1142	0.3564356435643564	1.0	False
chr1	3295485	3295667	3847	0.009900990099009901	1.0	False
chr1	3184411	3185008	1580	0.009900990099009901	1.0	False
chr1	86644	87026	756	0.26732673267326734	1.0	False
chr1	866309	867094	784	0.039603960396039604	1.0	False
chr1	578622	578909	548	0.0594059405940594	1.0	False
chr1	4063646	4064254	269	0.8118811881188119	1.0	False
chr1	1444907	1445370	1858	0.1188118811881188	1.0	False
chr1	226589	226945	1066	0.48514851485148514	1.0	False
chr1	3779331	3779519	557	0.7029702970297029	1.0	False
chr1	567126	567898	677	0.27722772277227725	1.0	False
chr1	445841	446094	828	0.33663366336633666	1.0	False
chr1	1549737	1550109	3591	0.019801980198019802	1.0	False
chr1	2078285	2079242	1419	0.039603960396039604	1.0	False
chr1	4230463	4231078	302	0.5445544554455446	1.0	False
chr1	4020653	4021568	213	0.5643564356435643	1.0	False
chr1	1276533	1277196	1200	0.38613861386138615	1.0	False
chr1	3496235	3496426	0	1.0	1.0	False
chr1	3676465	3676877	403	0.6732673267326733	1.0	False
chr1	801695	802599	58	0.8514851485148515	1.0	False
chr1	4408015	4408450	0	1.0	1.0	False
chr1	4457239	4457503	0	1.0	1.0	False
chr1	4233699	4234023	941	0.5346534653465347	1.0	False
chr1	3018422	3018742	394	0.801980198019802	1.0	False
chr1	2470438	2471241	2134	0.009900990099009901	1.0	False
chr1	1266699	1267208	113	0.900990099009901	1.0	False
chr1	1047226	1047515	268	0.594059405940594	1.0	False
chr1	4462228	4462395	0	1.0	1.0	False
chr1	3017125	3017731	742	0.6534653465346535	1.0	False
chr1	1749253	1749967	2050	0.07920792079207921	1.0	False
chr1	4434319	4434719	1153	0.39603960396039606	1.0	False
chr1	1384822	1385723	475	0.44554455445544555	1.0	False
chr1	1691053	1691518	2904	0.0594059405940594	1.0	False
chr1	2367886	2368479	1394	0.009900990099009901	1.0	False
chr1	3178541	3178935	429	0.5841584158415841	1.0	False
chr1	2146391	2147160	338	0.4752475247524752	1.0	False
chr1	4424618	4424806	2403	0.019801980198019802	1.0	False
chr1	1655996	1656813	2105	0.0891089108910891	1.0	False
chr1	1187904	1188781	640	0.5742574257425742	1.0	False
chr1	3143635	3143853	383	0.297029702970297	1.0	False
chr1	4122803	4123084	1826	0.009900990099009901	1.0	False
chr1	501123	501532	846	0.5247524752475248	1.0	False
chr1	2938465	2938634	426	0.6138613861386139	1.0	False
chr1	988903	989534	3192	0.019801980198019802	1.0	False
chr1	1884796	1885106	385	0.8613861386138614	1.0	False
chr1	3492333	3493130	752	0.7821782178217822	1.0	False
chr1	2238250	2238418	1984	0.1485148514851485	1.0	False
chr1	4300907	4301158	751	0.07920792079207921	1.0	False
chr1	4203442	4204372	128	0.9306930693069307	1.0	False
chr1	4442667	4443663	410	0.6831683168316832	1.0	False
chr1	4349364	4349970	368	0.6732673267326733	1.0	False
chr1	2422796	2423506	166	0.6732673267326733	1.0	False
chr1	617065	617518	1080	0.18811881188118812	1.0	False
chr1	1599698	1599900	330	0.6039603960396039	1.0	False
chr1	1929937	1930925	503	0.5445544554455446	1.0	False
chr1	1870795	1871281	0	1.0	1.0	False
chr1	2099616	2100494	496	0.39603960396039606	1.0	False
chr1	4471429	4472062	1922	0.039603960396039604	1.0	False
chr1	3960013	3960806	0	1.0	1.0	False
chr1	4147697	4148574	0	1.0	1.0	False
chr1	2266801	2267659	118	0.6435643564356436	1.0	False
chr1	2008201	2009194	1538	0.3564356435643564	1.0	False
chr1	459839	460712	758	0.5247524752475248	1.0	False
chr1	2196823	2197417	412	0.31683168316831684	1.0	False
chr1	810368	810943	714	0.32673267326732675	1.0	False
chr1	3156012	3156319	1389	0.26732673267326734	1.0	False
chr1	4221254	4221916	319	0.10891089108910891	1.0	False
chr1	2230981	2231174	2648	0.009900990099009901	1.0	False
chr1	2721018	2721406	1442	0.12871287128712872	1.0	False
chr1	1181977	1182554	438	0.6831683168316832	1.0	False
chr1	2615195	2615736	4592	0.019801980198019802	1.0	False
chr1	3682070	3682297	1217	0.0297029702970297	1.0	False
chr1	3837393	3837734	195	0.6336633663366337	1.0	False
chr1	3755286	3755399	2565	0.009900990099009901	1.0	False
chr1	2215223	2215348	452	0.5643564356435643	1.0	False
chr1	4054453	4054593	853	0.6237623762376238	1.0	False
chr1	1336292	1337154	380	0.26732673267326734	1.0	False
chr1	2296621	2296918	2083	0.09900990099009901	1.0	False
chr1	2108101	2108529	1037	0.04950495049504951	1.0	False
chr1	1063657	1064434	1549	0.26732673267326734	1.0	False
chr1	2124533	2124830	1974	0.21782178217821782	1.0	False
chr1	740799	741323	1209	0.5247524752475248	1.0	False
chr1	4097846	4098340	1720	0.21782178217821782	1.0	False
chr1	599030	599871	0	1.0	1.0	False
chr1	241022	241626	606	0.25742574257425743	1.0	False
chr1	3343647	3344086	2313	0.06930693069306931	1.0	False
chr1	2945534	2945956	1543	0.009900990099009901	1.0	False
chr1	3660675	3661351	0	1.0	1.0	False
chr1	2226332	2226974	379	0.6732673267326733	1.0	False
chr1	296689	296843	0	1.0	1.0	False
chr1	3810974	3811519	241	0.7524752475247525	1.0	False
chr1	3550758	3551437	408	0.36633663366336633	1.0	False
chr1	2877543	2878411	0	1.0	1.0	False
chr1	230125	230971	341	0.36633663366336633	1.0	False
chr1	2913535	2913868	565	0.7326732673267327	1.0	False
chr1	1590268	1590401	2964	0.009900990099009901	1.0	False
chr1	4148770	4149105	1340	0.43564356435643564	1.0	False
chr1	2598519	2598886	697	0.693069306930693	1.0	False
chr1	816581	817254	488	0.46534653465346537	1.0	False
chr1	3035472	3035647	108	0.8217821782178217	1.0	False
chr1	378632	379158	429	0.5742574257425742	1.0	False
chr1	3042481	3042615	1191	0.15841584158415842	1.0	False
chr1	3721184	3721540	31	0.8514851485148515	1.0	False
chr1	4485013	4485630	297	0.7821782178217822	1.0	False
chr1	66753	67273	1206	0.43564356435643564	1.0	False
chr1	3498300	3498583	1341	0.33663366336633666	1.0	False
chr1	2893958	2894847	91	0.7425742574257426	1.0	False
chr1	1317515	1318338	1755	0.0297029702970297	1.0	False
chr1	4040988	4041765	384	0.27722772277227725	1.0	False
chr1	147254	148029	1289	0.2079207920792079	1.0	False
chr1	2158747	2159574	823	0.504950495049505	1.0	False
chr1	3671214	3672195	502	0.801980198019802	1.0	False
chr1	2886396	2887010	97	0.6633663366336634	1.0	False
chr1	138752	138924	1122	0.009900990099009901	1.0	False
chr1	1602982	1603853	1621	0.32673267326732675	1.0	False
chr1	4287911	4288333	434	0.6633663366336634	1.0	False
chr1	2026115	2026396	1540	0.32673267326732675	1.0	False
chr1	3351940	3352217	2070	0.18811881188118812	1.0	False
chr1	3699412	3700088	1887	0.0594059405940594	1.0	False
chr1	3887148	3888095	155	0.900990099009901	1.0	False
chr1	2752163	2752773	1111	0.43564356435643564	1.0	False
chr1	3931526	3932256	3958	0.009900990099009901	1.0	False
chr1	1637927	1638680	119	0.9603960396039604	1.0	False
chr1	1260660	1261136	0	1.0	1.0	False
chr1	2644299	2644605	1484	0.009900990099009901	1.0	False
chr1	2362622	2363217	120	0.8613861386138614	1.0	False
chr1	3707000	3707154	2917	0.039603960396039604	1.0	False
chr1	1327865	1328349	2742	0.009900990099009901	1.0	False
chr1	1887112	1887302	1654	0.22772277227722773	1.0	False
chr1	3221813	3222540	701	0.504950495049505	1.0	False
chr1	378157	378553	701	0.7623762376237624	1.0	False
chr1	1298391	1298512	623	0.7128712871287128	1.0	False
chr1	2743765	2744462	369	0.7524752475247525	1.0	False
chr1	3732844	3733675	618	0.4752475247524752	1.0	False
chr1	1812259	1812799	287	0.4158415841584158	1.0	False
chr1	3022869	3023203	1590	0.22772277227722773	1.0	False
chr1	617177	617695	198	0.48514851485148514	1.0	False
chr1	3085282	3086276	1762	0.009900990099009901	1.0	False
chr1	1442309	1442533	3591	0.019801980198019802	1.0	False
chr1	3320251	3321058	331	0.48514851485148514	1.0	False
chr1	4460035	4461024	4164	0.009900990099009901	1.0	False
chr1	1769489	1769773	1979	0.009900990099009901	1.0	False
chr1	237005	237551	646	0.7227722772277227	1.0	False
chr1	462723	463451	175	0.6633663366336634	1.0	False
chr1	561602	562524	2675	0.009900990099009901	1.0	False
chr1	748798	749400	2793	0.019801980198019802	1.0	False
chr1	1567022	1567493	1349	0.019801980198019802	1.0	False
chr1	1855375	1855698	4449	0.009900990099009901	1.0	False
chr1	1243037	1243448	628	0.504950495049505	1.0	False
chr1	2519484	2519868	1010	0.3465346534653465	1.0	False
chr1	2421959	2422711	3160	0.009900990099009901	1.0	False
chr1	1837508	1837749	2649	0.009900990099009901	1.0	False
chr1	2920244	2921140	1894	0.19801980198019803	1.0	False
chr1	762981	763407	10	0.7821782178217822	1.0	False
chr1	2104841	2105700	683	0.36633663366336633	1.0	False
chr1	406618	407090	674	0.693069306930693	1.0	False
chr1	3891862	3892112	61	0.6336633663366337	1.0	False
chr1	1873357	1873716	37	0.8910891089108911	1.0	False
chr1	4296371	4297199	0	1.0	1.0	False
chr1	2910093	2910689	410	0.7722772277227723	1.0	False
chr1	3432561	3432976	0	1.0	1.0	False
chr1	917723	918051	444	0.6831683168316832	1.0	False
chr1	2778821	2779818	1178	0.15841584158415842	1.0	False
chr1	3607708	3607962	770	0.22772277227722773	1.0	False
chr1	273095	273776	489	0.594059405940594	1.0	False
chr1	3146115	3146394	765	0.504950495049505	1.0	False
chr1	1188039	1188196	628	0.48514851485148514	1.0	False
chr1	3830175	3830477	165	0.6732673267326733	1.0	False
chr1	1126497	1127234	551	0.7227722772277227	1.0	False
chr1	3199528	3200049	83	0.8811881188118812	1.0	False
chr1	2511112	2511653	487	0.6435643564356436	1.0	False
chr1	2587269	2587966	43	0.9603960396039604	1.0	False
chr1	3849110	3849573	2365	0.10891089108910891	1.0	False
chr1	366963	367271	557	0.5643564356435643	1.0	False
chr1	146297	147128	20	0.8712871287128713	1.0	False
chr1	2679914	2680759	1030	0.24752475247524752	1.0	False
chr1	1049738	1050161	1052	0.40594059405940597	1.0	False
chr1	4457013	4457472	908	0.6237623762376238	1.0	False
chr1	3499117	3499759	1629	0.009900990099009901	1.0	False
chr1	3647794	3648628	824	0.6039603960396039	1.0	False
chr1	3819432	3819765	74	0.7524752475247525	1.0	False
chr1	3935446	3935768	135	0.8118811881188119	1.0	False
chr1	2568096	2568997	3635	0.009900990099009901	1.0	False
chr1	1540610	1540843	296	0.24752475247524752	1.0	False
chr1	1801059	1801941	1533	0.15841584158415842	1.0	False
chr1	2675666	2676385	464	0.25742574257425743	1.0	False
chr1	244403	244800	191	0.7326732673267327	1.0	False
chr1	3585781	3586369	796	0.3069306930693069	1.0	False
chr1	4054402	4054855	581	0.5445544554455446	1.0	False
chr1	2990671	2991657	0	1.0	1.0	False
chr1	3798710	3799421	1602	0.009900990099009901	1.0	False
chr1	732584	733008	553	0.693069306930693	1.0	False
chr1	2234341	2234737	370	0.5247524752475248	1.0	False
chr1	287831	288550	55	0.7425742574257426	1.0	False
chr1	1749411	1750332	1025	0.27722772277227725	1.0	False
chr1	321414	321741	1457	0.2871287128712871	1.0	False
chr1	586654	586897	312	0.19801980198019803	1.0	False
chr1	1484293	1484677	543	0.019801980198019802	1.0	False
chr1	3336108	3336922	1068	0.15841584158415842	1.0	False
chr1	3742163	3743005	1634	0.12871287128712872	1.0	False
chr1	1636	2488	167	0.7425742574257426	1.0	False
chr1	897087	897680	1320	0.38613861386138615	1.0	False
chr1	2663832	2664322	0	1.0	1.0	False
chr1	1329653	1329979	564	0.07920792079207921	1.0	False
chr1	521824	522724	0	1.0	1.0	False
chr1	1169060	1169297	575	0.7227722772277227	1.0	False
chr1	2730921	2731721	719	0.7128712871287128	1.0	False
chr1	573981	574974	2844	0.04950495049504951	1.0	False
chr1	3905724	3906691	14	0.8910891089108911	1.0	False
chr1	372553	372840	642	0.39603960396039606	1.0	False
chr1	1527796	1528759	114	0.7722772277227723	1.0	False
chr1	1965874	1966611	2491	0.0297029702970297	1.0	False
chr1	1345047	1345580	766	0.31683168316831684	1.0	False
chr1	271064	271413	986	0.31683168316831684	1.0	False
chr1	3322150	3322733	519	0.5841584158415841	1.0	False
chr1	4500060	4500560	668	0.5148514851485149	1.0	False
chr1	1160224	1160367	239	0.6435643564356436	1.0	False
chr1	3425249	3425897	70	0.8415841584158416	1.0	False
chr1	2590036	2590984	1436	0.32673267326732675	1.0	False
chr1	1621862	1622133	994	0.31683168316831684	1.0	False
chr1	2300884	2301041	2285	0.0594059405940594	1.0	False
chr1	2710837	2711452	1217	0.40594059405940597	1.0	False
chr1	2981605	2981871	1386	0.0594059405940594	1.0	False
chr1	1314483	1315076	345	0.49504950495049505	1.0	False
chr1	4155374	4156079	396	0.49504950495049505	1.0	False
chr1	1749575	1749726	2327	0.0891089108910891	1.0	False
chr1	1951035	1951202	1542	0.31683168316831684	1.0	False
chr1	1610737	1611664	0	1.0	1.0	False
chr1	855954	856618	555	0.37623762376237624	1.0	False
chr1	2370157	2370659	2817	0.019801980198019802	1.0	False
chr1	1513150	1513538	0	1.0	1.0	False
chr1	2695345	2696142	706	0.6633663366336634	1.0	False
chr1	2931591	2931831	542	0.21782178217821782	1.0	False
chr1	652689	652932	0	1.0	1.0	False
chr1	4399424	4399584	1062	0.36633663366336633	1.0	False
chr1	4137459	4138257	419	0.0594059405940594	1.0	False
chr1	2299539	2299693	1191	0.40594059405940597	1.0	False
chr1	341661	341911	409	0.2871287128712871	1.0	False
chr1	1133117	1134080	181	0.9108910891089109	1.0	False
chr1	3644610	3645248	1900	0.009900990099009901	1.0	False
chr1	1867058	1867278	941	0.4158415841584158	1.0	False
chr1	3874657	3874901	577	0.42574257425742573	1.0	False
chr1	922550	923260	544	0.5346534653465347	1.0	False
chr1	667260	668171	582	0.2871287128712871	1.0	False
chr1	3363365	3364255	246	0.4752475247524752	1.0	False
chr1	1374885	1375227	3647	0.009900990099009901	1.0	False
chr1	4264813	4265758	2448	0.019801980198019802	1.0	False
chr1	708290	709165	329	0.594059405940594	1.0	False
chr1	3294545	3294914	897	0.18811881188118812	1.0	False
chr1	956552	956806	139	0.6336633663366337	1.0	False
chr1	2649331	2649939	109	0.7920792079207921	1.0	False
chr1	1961025	1961963	694	0.44554455445544555	1.0	False
chr1	1972381	1972953	1116	0.43564356435643564	1.0	False
chr1	467576	467930	72	0.8613861386138614	1.0	False
chr1	1851240	1851657	1481	0.019801980198019802	1.0	False
chr1	1055020	1055430	1234	0.18811881188118812	1.0	False
chr1	1681787	1682699	985	0.07920792079207921	1.0	False
chr1	4106772	4107236	1177	0.42574257425742573	1.0	False
chr1	2614815	2614939	213	0.801980198019802	1.0	False
chr1	1903902	1904067	1779	0.16831683168316833	1.0	False
chr1	2164754	2165205	333	0.4158415841584158	1.0	False
chr1	700239	700908	1012	0.27722772277227725	1.0	False
chr1	3703585	3703835	881	0.3465346534653465	1.0	False
chr1	882106	882854	183	0.8118811881188119	1.0	False
chr1	4290023	4290355	526	0.2376237623762376	1.0	False
chr1	956119	956654	1345	0.38613861386138615	1.0	False
chr1	2631104	2631437	1278	0.009900990099009901	1.0	False
chr1	3326827	3327625	424	0.7524752475247525	1.0	False
chr1	1695375	1695733	120	0.7326732673267327	1.0	False
chr1	1237675	1238662	22	0.7524752475247525	1.0	False
chr1	2523002	2523546	1	0.9108910891089109	1.0	False
chr1	763995	764251	2359	0.039603960396039604	1.0	False
chr1	351515	352357	443	0.8811881188118812	1.0	False
chr1	4219285	4219646	3186	0.019801980198019802	1.0	False
chr1	137853	138140	194	0.7821782178217822	1.0	False
chr1	224430	225024	337	0.7128712871287128	1.0	False
chr1	1345923	1346469	190	0.8316831683168316	1.0	False
chr1	4004054	4004529	266	0.900990099009901	1.0	False
chr1	1829037	1829756	791	0.4752475247524752	1.0	False
chr1	315802	316483	701	0.7425742574257426	1.0	False
chr1	1733699	1734218	0	1.0	1.0	False
chr1	1070646	1070798	548	0.5544554455445545	1.0	False
chr1	4070730	4070987	928	0.5445544554455446	1.0	False
chr1	2574066	2574348	1975	0.009900990099009901	1.0	False
chr1	2366790	2367138	723	0.25742574257425743	1.0	False
chr1	445130	445901	22	0.7227722772277227	1.0	False
chr1	4384745	4385268	141	0.9207920792079208	1.0	False
chr1	1272837	1273541	382	0.36633663366336633	1.0	False
chr1	1316832	1317244	1501	0.06930693069306931	1.0	False
chr1	1566892	1567189	1994	0.15841584158415842	1.0	False
chr1	4041102	4042073	375	0.7326732673267327	1.0	False
chr1	582096	582271	1207	0.0297029702970297	1.0	False
chr1	4026108	4026643	0	1.0	1.0	False
chr1	4147256	4147467	0	1.0	1.0	False
chr1	1016051	1016930	214	0.8613861386138614	1.0	False
chr1	1717380	1718370	246	0.7128712871287128	1.0	False
chr1	1681577	1682437	190	0.8910891089108911	1.0	False
chr1	2224998	2225365	831	0.31683168316831684	1.0	False
chr1	4355595	4356381	2350	0.1188118811881188	1.0	False
chr1	4356127	4356320	2687	0.009900990099009901	1.0	False
chr1	1292678	1293627	1527	0.0594059405940594	1.0	False
chr1	1477067	1477549	702	0.019801980198019802	1.0	False
chr1	2703904	2704245	122	0.7425742574257426	1.0	False
chr1	1940059	1940350	1830	0.16831683168316833	1.0	False
chr1	3424278	3424567	199	0.594059405940594	1.0	False
chr1	237676	237958	1338	0.019801980198019802	1.0	False
chr1	140677	141323	1203	0.009900990099009901	1.0	False
chr1	168982	169973	731	0.7425742574257426	1.0	False
chr1	3327433	3327687	1401	0.04950495049504951	1.0	False
chr1	1932097	1932418	1331	0.4752475247524752	1.0	False
chr1	611134	611728	765	0.33663366336633666	1.0	False
chr1	2146147	2146697	157	0.8811881188118812	1.0	False
chr1	447145	447681	2946	0.039603960396039604	1.0	False
chr1	2922543	2923343	1487	0.09900990099009901	1.0	False
chr1	2468676	2469496	2501	0.06930693069306931	1.0	False
chr1	1814892	1815804	282	0.8613861386138614	1.0	False
chr1	3818431	3819053	1487	0.38613861386138615	1.0	False
chr1	781481	782267	788	0.48514851485148514	1.0	False
chr1	3574657	3575234	939	0.12871287128712872	1.0	False
chr1	2965517	2966269	2802	0.019801980198019802	1.0	False
chr1	999925	1000546	2460	0.0297029702970297	1.0	False
chr1	2452766	2453454	826	0.27722772277227725	1.0	False
chr1	4447448	4448254	2509	0.009900990099009901	1.0	False
chr1	2662112	2662729	1448	0.0891089108910891	1.0	False
chr1	1433591	1433744	1261	0.32673267326732675	1.0	False
chr1	2895479	2896406	1327	0.36633663366336633	1.0	False
chr1	2154390	2155128	438	0.3465346534653465	1.0	False
chr1	2667853	2668477	2692	0.0297029702970297	1.0	False
chr1	3564729	3565722	1956	0.039603960396039604	1.0	False
chr1	3409916	3410040	2342	0.019801980198019802	1.0	False
chr1	2849462	2850314	1011	0.3465346534653465	1.0	False
chr1	3355139	3355826	532	0.5445544554455446	1.0	False
chr1	698606	699407	398	0.7425742574257426	1.0	False
chr1	542719	543048	0	1.0	1.0	False
chr1	565858	566084	0	1.0	1.0	False
chr1	3247474	3248121	249	0.8118811881188119	1.0	False
chr1	261971	262166	165	0.9405940594059405	1.0	False
chr1	953007	953996	867	0.48514851485148514	1.0	False
chr1	1695854	1696507	412	0.42574257425742573	1.0	False
chr1	328024	328862	1678	0.2376237623762376	1.0	False
chr1	777071	778013	687	0.1188118811881188	1.0	False
chr1	3194679	3194788	1178	0.06930693069306931	1.0	False
chr1	896367	896758	598	0.7722772277227723	1.0	False
chr1	778789	779160	0	1.0	1.0	False
chr1	1333673	1333791	9	0.9801980198019802	1.0	False
chr1	4029657	4030040	1732	0.25742574257425743	1.0	False
chr1	285641	286484	1047	0.44554455445544555	1.0	False
chr1	4215000	4215657	26	0.8910891089108911	1.0	False
chr1	1930510	1930799	997	0.44554455445544555	1.0	False
chr1	1918370	1918782	915	0.1782178217821782	1.0	False
chr1	191593	192157	2613	0.019801980198019802	1.0	False
chr1	544637	545355	328	0.9108910891089109	1.0	False
chr1	1796981	1797098	349	0.2079207920792079	1.0	False
chr1	1536548	1536675	593	0.6039603960396039	1.0	False
chr1	952687	953191	109	0.7524752475247525	1.0	False
chr1	3553461	3554381	771	0.7128712871287128	1.0	False
chr1	73717	74485	699	0.6534653465346535	1.0	False
chr1	3874557	3875461	366	0.2376237623762376	1.0	False
chr1	2730069	2730238	1956	0.009900990099009901	1.0	False
chr1	2037392	2038112	539	0.19801980198019803	1.0	False
chr1	1553410	1554161	1826	0.009900990099009901	1.0	False
chr1	1518088	1519075	1405	0.009900990099009901	1.0	False
chr1	747233	747499	1896	0.009900990099009901	1.0	False
chr1	1047425	1048285	2647	0.0297029702970297	1.0	False
chr1	3921486	3922335	166	0.7227722772277227	1.0	False
